pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id.1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,barrel
FF,2017-06-21,91.3,-1.8172,5.3013,Jesse Winker,608385,541640,field_out,hit_into_play,NA,NA,NA,NA,6,Jesse Winker flies out to center fielder Peter Bourjos.,R,L,R,TB,CIN,X,8,fly_ball,0,1,2017,-0.8873,1.2923,0.8231,2.7661,NA,NA,NA,1,5,Top,127.36,69.06,NA,NA,491696,NA,170621_173732,8.445,-132.3674,-3.1588,-12.1359,28.8439,-16.7257,3.6578,1.436,284,80.3,37.579,90.459,2335,6.02,491174,541640,491696,489149,605227,461858,621002,605480,488721,519306,54.4798,0.013,0.016,0,1,0,0,3,37,2,0
FC,2017-06-21,88.4,-1.8676,5.4898,Jesse Winker,608385,541640,NA,called_strike,NA,NA,NA,NA,8,NA,R,L,R,TB,CIN,S,NA,NA,0,0,2017,-0.1582,0.9761,-0.0324,1.5242,NA,NA,NA,1,5,Top,NA,NA,NA,NA,491696,NA,170621_173708,4.7594,-128.2794,-5.5451,-2.6789,25.5069,-20.601,3.6403,1.4775,NA,NA,NA,87.906,2468,6.038,491174,541640,491696,489149,605227,461858,621002,605480,488721,519306,54.4616,0,0,NA,NA,NA,NA,NA,37,1,NA
FT,2017-06-21,93,-1.8891,5.5235,Jesse Winker,608385,541640,field_out,hit_into_play,NA,NA,NA,NA,4,Jesse Winker lines out to center fielder Peter Bourjos.,R,L,R,TB,CIN,X,8,line_drive,0,1,2017,-1.8893,0.9082,-0.6498,2.2623,NA,NA,NA,1,3,Top,127.19,67.06,NA,NA,491696,NA,170621_164645,7.1851,-134.8657,-4.4434,-24.3498,31.0596,-20.4857,3.6578,1.436,361,97.3,20.07,92.026,2342,6.023,491174,541640,491696,489149,605227,461858,621002,605480,488721,519306,54.4765,0.375,0.476,0,1,0,0,4,15,2,0
FC,2017-06-21,88.2,-1.8043,5.5218,Jesse Winker,608385,541640,NA,called_strike,NA,NA,NA,NA,6,NA,R,L,R,TB,CIN,S,NA,NA,0,0,2017,0.0507,0.7716,0.3697,2.4052,NA,NA,NA,1,3,Top,NA,NA,NA,NA,491696,NA,170621_164619,5.1474,-128.1627,-3.0972,-0.3935,23.6681,-23.3382,3.578,1.5274,NA,NA,NA,88.027,2473,6.015,491174,541640,491696,489149,605227,461858,621002,605480,488721,519306,54.485,0,0,NA,NA,NA,NA,NA,15,1,NA
CH,2017-06-19,86.7,-2.7172,5.6379,Jesse Winker,608385,543144,field_out,hit_into_play,NA,NA,NA,NA,13,Jesse Winker grounds out to first baseman Logan Morrison.,R,L,R,TB,CIN,X,3,ground_ball,0,2,2017,-1.8404,0.2949,-0.7109,0.5514,553993,NA,594988,2,9,Top,150.13,174.59,NA,NA,519083,NA,170620_021238,8.5955,-125.7788,-6.5594,-21.4432,25.2587,-27.897,3.6529,1.4308,NA,82.9,-20.699,86.967,1859,6.6,491146,543144,519083,489149,605227,446334,621002,572816,605480,519306,53.9,0.075,0.069,0,1,0,0,2,77,3,0
CH,2017-06-19,85.7,-2.697,5.672,Jesse Winker,608385,543144,NA,called_strike,NA,NA,NA,NA,1,NA,R,L,R,TB,CIN,S,NA,NA,0,1,2017,-1.5938,0.47,-0.4278,3.2767,553993,NA,594988,2,9,Top,NA,NA,NA,NA,519083,NA,170620_021217,8.5822,-124.3454,-0.3157,-18.3322,24.8652,-27.4176,3.3451,1.4308,NA,NA,NA,85.782,1858,6.489,491146,543144,519083,489149,605227,446334,621002,572816,605480,519306,54.0106,0,0,NA,NA,NA,NA,NA,77,2,NA
CU,2017-06-19,76.1,-2.5402,5.9271,Jesse Winker,608385,543144,NA,called_strike,NA,NA,NA,NA,12,NA,R,L,R,TB,CIN,S,NA,NA,0,0,2017,1.0592,-0.8532,0.9057,2.4853,553993,NA,594988,2,9,Top,NA,NA,NA,NA,519083,NA,170620_021200,5.3093,-110.4161,1.401,7.362,21.7947,-39.4982,3.2782,1.4325,NA,NA,NA,74.786,2666,5.724,491146,543144,519083,489149,605227,446334,621002,572816,605480,519306,54.776,0,0,NA,NA,NA,NA,NA,77,1,NA
FF,2017-06-19,93.9,-2.7696,5.9023,Jesse Winker,608385,543144,single,hit_into_play_score,NA,NA,NA,NA,1,Jesse Winker singles on a ground ball to right fielder Steven Souza Jr.   Joey Votto scores.    Adam Duvall scores.    Scott Schebler to 2nd.,R,L,R,TB,CIN,X,NA,ground_ball,0,0,2017,-0.9513,1.736,-0.617,3.4053,458015,594807,594988,1,8,Top,179.53,97.53,NA,NA,519083,NA,170620_014449,7.5355,-135.851,-4.3007,-13.3906,34.9555,-10.4479,3.7741,1.4989,69,98.8,2.016,92.075,2429,5.908,491146,543144,519083,489149,605227,446334,621002,572816,605480,519306,54.5913,0.507,0.473,0.9,1,1,0,4,65,1,0
FF,2017-06-19,92.6,-0.6394,5.9579,Jesse Winker,608385,543606,field_out,hit_into_play,NA,NA,NA,NA,3,Jesse Winker pops out to shortstop Daniel Robertson.,R,L,R,TB,CIN,X,6,popup,1,1,2017,-0.8162,1.5616,0.2897,3.2383,NA,594807,553993,2,6,Top,109.23,137.91,NA,NA,519083,NA,170620_005858,4.0347,-134.275,-4.2974,-10.5288,31.9977,-13.1219,3.6544,1.4325,156,86.7,64.59,90.86,2081,5.647,491146,543606,519083,489149,605227,446334,621002,572816,605480,519306,54.8524,0.02,0.019,0,1,0,0,3,47,3,0
FF,2017-06-19,92.8,-0.6967,5.9912,Jesse Winker,608385,543606,NA,foul,NA,NA,NA,NA,6,NA,R,L,R,TB,CIN,S,NA,NA,1,0,2017,-1.202,1.4417,0.3012,2.5718,NA,594807,553993,2,6,Top,NA,NA,NA,NA,519083,NA,170620_005818,5.0157,-134.4449,-5.843,-15.3178,31.2364,-14.1092,3.6544,1.4325,NA,NA,NA,91.076,2399,5.645,491146,543606,519083,489149,605227,446334,621002,572816,605480,519306,54.8548,0,0,NA,NA,NA,NA,NA,47,2,NA
