pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id.1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,barrel
CH,2017-04-15,87,-2.2212,5.6076,Addison Russell,608365,607192,field_out,hit_into_play,NA,NA,NA,NA,8,Addison Russell lines out to center fielder Starling Marte.,R,R,R,CHC,PIT,X,8,line_drive,2,1,2017,-0.8026,0.5536,0.0218,1.9825,NA,519203,450314,0,5,Bot,132.15,68.63,NA,NA,465041,NA,170415_200554,7.2752,-126.6511,-3.8702,-10.4155,22.8487,-25.3292,3.746,1.535,310,82,27.518,89.506,1476,7.586,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.9605,0.078,0.088,0,1,0,0,3,42,4,0
CH,2017-04-15,86.6,-2.3886,5.6503,Addison Russell,608365,607192,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,CHC,PIT,B,NA,NA,1,1,2017,-1.0356,0.6153,0.6017,0.83,NA,519203,450314,0,5,Bot,NA,NA,NA,NA,465041,NA,170415_200527,9.5715,-125.7636,-6.8056,-13.3488,23.1723,-24.1706,3.3269,1.536,NA,NA,NA,88.822,1539,7.645,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.9404,0,0,NA,NA,NA,NA,NA,42,3,NA
CU,2017-04-15,78.5,-2.2289,5.7571,Addison Russell,608365,607192,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,CHC,PIT,B,NA,NA,0,1,2017,0.8224,-0.935,1.6993,2.0925,NA,519203,450314,0,5,Bot,NA,NA,NA,NA,465041,NA,170415_200510,6.9931,-113.9348,0.7748,5.6791,23.9009,-40.6907,3.4109,1.536,NA,NA,NA,78.327,2663,6.598,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,53.8851,0,0,NA,NA,NA,NA,NA,42,2,NA
FF,2017-04-15,91.9,-2.4021,5.7224,Addison Russell,608365,607192,NA,foul,NA,NA,NA,NA,1,NA,R,R,R,CHC,PIT,S,NA,NA,0,0,2017,-0.4987,1.3174,-0.5792,3.1723,NA,519203,450314,0,5,Bot,NA,NA,NA,NA,465041,NA,170415_200445,5.9398,-133.928,-3.8069,-7.5345,26.0662,-14.7086,3.746,1.535,161,77.7,15.5711,95.04,2254,7.854,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.6982,0,0,NA,NA,NA,NA,4,42,1,0
CH,2017-04-15,86.9,-2.3775,5.574,Ben Zobrist,450314,607192,walk,ball,NA,NA,NA,NA,11,Ben Zobrist walks.   Anthony Rizzo to 2nd.,R,L,R,CHC,PIT,B,NA,NA,3,2,2017,-0.7777,0.4315,-1.3831,2.4481,NA,NA,519203,0,5,Bot,NA,NA,NA,NA,465041,NA,170415_200311,4.1635,-126.6724,-2.356,-9.6137,24.1889,-26.9676,3.1943,1.4679,NA,NA,NA,89.504,1587,7.68,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.8549,0,0,0.7,1,0,0,NA,41,6,NA
CU,2017-04-15,79,-2.2284,5.7684,Ben Zobrist,450314,607192,NA,ball,NA,NA,NA,NA,3,NA,R,L,R,CHC,PIT,B,NA,NA,2,2,2017,0.9768,-0.4392,0.7347,3.381,NA,NA,519203,0,5,Bot,NA,NA,NA,NA,465041,NA,170415_200210,4.6468,-114.8116,2.4429,7.7786,21.7581,-36.7435,3.3284,1.518,NA,NA,NA,79.144,2573,6.471,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,54.0034,0,0,NA,NA,NA,NA,NA,41,5,NA
FF,2017-04-15,93.4,-2.2445,5.6573,Ben Zobrist,450314,607192,NA,called_strike,NA,NA,NA,NA,9,NA,R,L,R,CHC,PIT,S,NA,NA,2,1,2017,-0.103,1.7038,0.3165,1.6167,NA,NA,519203,0,5,Bot,NA,NA,NA,NA,465041,NA,170415_200148,7.0245,-135.735,-8.8443,-2.816,28.4173,-8.2091,3.194,1.518,NA,NA,NA,96.088,2165,7.806,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.7125,0,0,NA,NA,NA,NA,NA,41,4,NA
CH,2017-04-15,88.3,-2.375,5.6171,Ben Zobrist,450314,607192,NA,swinging_strike,NA,NA,NA,NA,13,NA,R,L,R,CHC,PIT,S,NA,NA,2,0,2017,-0.9667,0.8429,-0.0336,0.9584,NA,NA,519203,0,5,Bot,NA,NA,NA,NA,465041,NA,170415_200125,8.0185,-128.3731,-7.3389,-12.7894,23.5285,-21.0862,3.865,1.601,NA,NA,NA,90.953,1685,7.724,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.8214,0,0,NA,NA,NA,NA,NA,41,3,NA
CH,2017-04-15,86.9,-2.3684,5.6718,Ben Zobrist,450314,607192,NA,ball,NA,NA,NA,NA,13,NA,R,L,R,CHC,PIT,B,NA,NA,1,0,2017,-1.0483,0.6398,-0.5351,1.1272,NA,NA,519203,0,5,Bot,NA,NA,NA,NA,465041,NA,170415_200105,6.7863,-126.4731,-6.3181,-13.0345,21.3478,-23.9773,3.362,1.6692,NA,NA,NA,89.461,1554,7.542,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,53.0325,0,0,NA,NA,NA,NA,NA,41,2,NA
FF,2017-04-15,94.5,-2.3745,5.7022,Ben Zobrist,450314,607192,NA,ball,NA,NA,NA,NA,13,NA,R,L,R,CHC,PIT,B,NA,NA,0,0,2017,-1.2147,1.4989,-0.4367,1.2865,NA,NA,519203,0,5,Bot,NA,NA,NA,NA,465041,NA,170415_200044,8.0553,-137.2779,-9.5299,-17.8016,28.7241,-10.4351,3.4795,1.7365,NA,NA,NA,96.771,2421,7.598,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.9587,0,0,NA,NA,NA,NA,NA,41,1,NA
